Category,Description
Data Scientist,data scientist brand new role business come define data scientist role develop deploy maintain accurate forecasting models drive datadriven decision making stock demand planning portsmouth based manufacturing company global distribution role requires someone immerse business identifying suggesting new data sources innovative approaches enhance forecasting models strong technical expertise sql py
Data Scientist,bettingjobs working sports analytics company work clients igaming industry seeking hire data scientist based london role looking data scientist work betting prediction side business helping improve ability predict match outcomes role involves researching ways modelling approaches use predict football matches improved turning th
Data Scientist,role data scientist salary k k location days week central london office working boutique investment research firm dedicated providing indepth market analysis actionable insights clients specialize uncovering unique investment opportunities rigorous research datadriven strategies small dynamic team value innovation collaboration passion excellence seeking highly skilled motivat
Data Scientist,data scientist hybrid london company working cutting edge ai start working within legaltech sector looking transform complaints resolution processes regulated industries founded cambridge university vision building online legal system customer disputes looking highly motivated data scientist join growing team role develop enhance aidriven solutions consumer dispute resoluti
Data Scientist,data scientist bonus oxford days week company supporting bespoke games studio key senior games analyst hire within role analyse game performance performing deep dive analysis improve user experience role successful senior games analyst responsibilities include create sustain queries visualisations monitor key metrics games analyse game performance variability provide actionable insights decisio
Data Scientist,client looking expand data capabilities addition talented data scientist exciting opportunity work cuttingedge projects harness data drive impactful business decisions solve complex challenges successful candidate bring strong analytical skills handson experience machine learning statistical analysis data engineering help client enhance datadriven strategies insights key responsibilities build
Data Scientist,ai engineer opportunity generative ai machine learning manchester passionate pushing boundaries ai machine learning join innovative team delivering cuttingedge solutions global clients looking experienced ai engineer work impactful projects leveraging generative ai advanced machine learning models databricks youll develop generative ai models like gpt dalle stable diffusion realworld applications bu
Data Scientist,role sits within econometrics team help business measure effectiveness efficiency business strategies learnings applied help shape british gas hives overall marketing strategy youll responsible delivering accurate appropriate models interpret analysis create concise insightful recommendations role varied exposure across business involve working closely commercial finance marketing
Data Scientist,lead data scientist l senior level sfia salary kk dependent experience location coventryhybrid scrumconnect scrumconnect leading force technology consultancy proudly contributing uks significant citizenfacing public services awardwinning team made substantial impact delivering services past two years alone work reached million citizens also achieved considerable savings
Data Scientist,title senior data scientist salary k equity location london onsite tech stack python sql cloud aws gcp azure excited partner forwardthinking proptech startup heart london seeking talented data scientist years commercial experience fantastic opportunity contribute innovative projects data science ai machine learning drive strategic decisions insights interests click apply
Data Scientist,ickstart tech career refonte position ai data science devops cloud internship refonte refonte refonte ai global leader edtech recognized delivering advanced solutions artificial intelligence ai data science digital marketing uiux design web development app development mission centers innovation excellence empowering talent achieve impactful results across globe learn httpsrefontelearningcom lau
Database Engineer,join us database engineer barclays youll build maintain infrastructure platforms products support applications data systems using hardware software networks cloud computing platforms required aim ensuring infrastructure reliable scalable secure successful database engineer experience experience mongodb database administrator similar role focus setting managin
Database Engineer,join us database engineer barclays youll build maintain infrastructure platforms products support applications data systems using hardware software networks cloud computing platforms required aim ensuring infrastructure reliable scalable secure successful database engineer experience database administrator postgresql serving highest level technical escalation complex da
Database Engineer,join us database engineer barclays youll build maintain infrastructure platforms products support applications data systems using hardware software networks cloud computing platforms required aim ensuring infrastructure reliable scalable secure successful database engineer experience database administrator postgresql serving highest level technical escalation complex da
Database Engineer,database engineer postgresql sql expert market leading hedge fund compensation client looking add key member global db team help support administrate secure key databases across business involve working closely users parts business define resolve information flow content issues helping enable support transformation business requirements database solutions lo
Database Engineer,team responsibilities inside technology services omni customisation team data architecture management team oversees delivery global performance biggest automotive advertiser world key elements product accuracy reliability availability data analysts clients horizon looking expand capabilities build new products enable new opportunities clients role summary key role
Database Engineer,database research engineer european tech recruit working closely multinational tech telecommunications company based edinburgh looking number junior principal level database research engineers join team role work close collaboration academic research institutions focused projects within programming languages compilers knowledge graphs positioning navigation cloud systems infrastructure responsibilities
Database Engineer,job description purpose role build maintain infrastructure platforms products support applications data systems using hardware software networks cloud computing platforms required aim ensuring infrastructure reliable scalable secure ensure reliability availability scalability systems platforms technology application software engineering techniques automation best practices inciden
Database Engineer,job description purpose role design develop improve software utilising various engineering methodologies provides business platform technology capabilities customers colleagues accountabilities development delivery highquality software solutions using industry aligned programming languages frameworks tools ensuring code scalable maintainable optimized performance crossfunctional collaboration product managers
Database Engineer,job description database engineer responsible development delivery new systems automate streamline processes required different departments support internal department changes upgrades software platforms primary contact technical questions relating inhouse bespoke systems interfacing database support supporting budgeting financial planning processes finance department including loading refreshing data based
Database Engineer,department data services employment type permanent full time location north west uk hybrid workplace type hybrid compensation year roles hiring manager jed shaw view jeds profile key responsibilities skills knowledge expertise benefits cdl software uks biggest insurance retailers rely cdls trend setting solutions drive success growth ambition commitment produced track record delivering exactly result client
Database Engineer,starling uks first leading digital bank mission fix banking vision fast technology fair service honest values tap phone time giving customers new way spend save manage money taking better care planet seen us become multiaward winning bank employs across five offices london cardiff dublin southampton soon manchester journey started
Database Engineer,database engineer dba sme database experience within postgresql required leading hedge fund based london emphasis postgresql nosql sql server backup skillset production engineering environments essential skills years experience database engineering production dba role production environment experience specialist focus postgresql environment understanding db monitoring analysis disaster recovery performance tuning server exposure
Database Engineer,pdi technologies empower worlds leading convenience retail petroleum brands cuttingedge technology solutions drive growth operational efficiency connecting convenience across globe empower businesses increase productivity make informed decisions engage faster customers loyalty programs shopper insights unmatched realtime market intelligence via mobile applications gasbuddy global team commit
Database Engineer,qube research technologies qrt global quantitative systematic investment manager operating liquid asset classes across world technology data driven group implementing scientific approach investing combining data research technology trading expertise shaped qrts collaborative mindset enables us solve complex challenges qrts culture innovation continuously drives ambition deliver high quality returns inv
Database Engineer,looking data reliability engineer join rapidly growing dbre team amazing opportunity join fast growing company make immediate real impact future product highscale high throughput environment systems running hundreds thousands queries per second grows time role responsible reliability databases making sure run smoothly providing required performance sca
Database Engineer,holt executive currently partnered global leader space sustainability dynamic rapidly growing technology engineering innovator making hugely positive contributions tackle growing problem space debris making space orbits safer future generations require senior mission database engineer responsible leading design development optimization satellite reference database srdb future missions role
Database Engineer,join us database engineer barclays youll build maintain infrastructure platforms products support applications data systems using hardware software networks cloud computing platforms required aim ensuring infrastructure reliable scalable secure successful database engineer experience experience mongodb database administrator similar role focus setting managin
Database Engineer,job description database engineer sql server responsible development delivery new systems automate streamline processes required different departments support internal department changes upgrades software platforms primary contact technical questions relating inhouse bespoke systems interfacing database support supporting budgeting financial planning processes finance department including loading refreshin
Database Engineer,join us database engineer barclays youll build maintain infrastructure platforms products support applications data systems using hardware software networks cloud computing platforms required aim ensuring infrastructure reliable scalable secure successful database engineer experience database administrator postgresql serving highest level technical escalation complex da
Database Engineer,join us database engineer barclays youll build maintain infrastructure platforms products support applications data systems using hardware software networks cloud computing platforms required aim ensuring infrastructure reliable scalable secure successful database engineer experience database administrator postgresql serving highest level technical escalation complex da
Database Engineer,uk based remote position opportunity daon provides innovative awardwinning identity management products services global businesses public sector organizations team engineers scientists patented brought market biometric identity verification systems technologies team anywhere privately held company major offices europe australia north america daon providing fraud prevention solutions organizations across six co
Database Engineer,unlock potential key player success story looking dynamic organized database engineers join team thrive fastpaced environment excel managing priorities ready join highspeed technical team opportunity youve waiting join us journey efficiency excellence endless possibilities must active tssci clearance apply database engineer willl manage provide access geospat
Database Engineer,database support engineer shift pattern standard hour week united kingdom scheduled weekly hours corporate grade assistant vice president reporting line uk division lme information technology location uklondon worker type permanent overall purpose role providing support microsoft sql server estate part production dba support team along technical expertise advice application support technology stakeholders required keep ab
Database Engineer,database support engineer shift pattern standard hour week united kingdom scheduled weekly hours corporate grade f officer reporting line uk division lme information technology location uklondon worker type permanent london metal exchange london metal exchange lme world centre industrial metals trading million lots traded equating trillion billion tonnes notional market open interest high millio
Database Engineer,join us database engineer barclays youll build maintain infrastructure platforms products support applications data systems using hardware software networks cloud computing platforms required aim ensuring infrastructure reliable scalable secure successful database engineer experience database administrator postgresql serving highest level technical escalation complex da
Database Engineer,join us database engineer barclays youll build maintain infrastructure platforms products support applications data systems using hardware software networks cloud computing platforms required aim ensuring infrastructure reliable scalable secure successful database engineer experience experience mongodb database administrator similar role focus setting managin
Database Engineer,join us database engineer barclays youll build maintain infrastructure platforms products support applications data systems using hardware software networks cloud computing platforms required aim ensuring infrastructure reliable scalable secure successful database engineer experience database administrator postgresql serving highest level technical escalation complex da
Database Engineer,flexera saves customers billions dollars wasted technology spend pioneer hybrid itam finops flexera provides awardwinning dataoriented saas solutions technology value optimization tvo enabling finance procurement cloud teams gain deep insights cost optimization compliance risks business service flexera one solutions built set definitive customer supplier industry data powered technology intelligence platform th
Database Engineer,job description database engineer sql server ssis ssrs c net aspnet client bank based central london looking recruit database engineer ability work ssis must solid expertise least years experience working ms sql server ssis ssis important position responsible development delivery new systems automate streamline processes required different departments support
Database Engineer,engine starling mission find work leading banks around world ambition build rapid growth businesses technology engine starlings softwareasaservice saas business technology built power starling bank two years ago split separate business starling bank seen exceptional growth success large part fact built modern technology g
Database Engineer,description site reliability engineer database remote uk uk gov clearance eligibility required seasoned site reliability engineer cloud devops guru backup restore recovery expert looking join exciting growing cloud devops team automate problem solve work improving latest oracle cloud service oracle database autonomous recovery service solve complex problems related infrastructure cloud services build aut
Database Engineer,description site reliability engineer database remote uk uk gov clearance eligibility required seasoned site reliability engineer cloud devops guru backup restore recovery expert looking join exciting growing cloud devops team automate problem solve work improving latest oracle cloud service oracle database autonomous recovery service solve complex problems related infrastructure cloud services build aut
Database Engineer,job description site reliability engineer database remote uk uk gov clearance eligibility required seasoned site reliability engineer cloud devops guru backup restore recovery expert looking join exciting growing cloud devops team automate problem solve work improving latest oracle cloud service oracle database autonomous recovery service solve complex problems related infrastructure cloud services build
Database Engineer,job description site reliability engineer database remote uk uk gov clearance eligibility required seasoned site reliability engineer cloud devops guru backup restore recovery expert looking join exciting growing cloud devops team automate problem solve work improving latest oracle cloud service oracle database autonomous recovery service solve complex problems related infrastructure cloud services build
Database Engineer,description would like help implement innovative cloud computing solutions solve worlds complex technical problems deep passion desire engineer operate worlds largest cloud computing infrastructure provide better world future generations amazon web services aws builds operates largest internet infrastructure planet providing companies sizes infrastructure web services platform cloud wi
Database Engineer,would like help implement innovative cloud computing solutions solve worlds complex technical problems deep passion desire engineer operate worlds largest cloud computing infrastructure provide better world future generations amazon web services aws builds operates largest internet infrastructure planet providing companies sizes infrastructure web services platform cloud aws cust
Database Engineer,would like help implement innovative cloud computing solutions solve worlds complex technical problems deep passion desire engineer operate worlds largest cloud computing infrastructure provide better world future generations amazon web services aws builds operates largest internet infrastructure planet providing companies sizes infrastructure web services platform cloud aws cust
Database Engineer,accenture accenture global professional services company leading capabilities digital cloud security combining unmatched experience specialized skills across industries offer strategy consulting technology operations services accenture songall powered worlds largest network advanced technology intelligent operations centers people deliver promise technology human ingenuity every day serving c
Database Engineer,description would like help implement innovative cloud computing solutions solve worlds complex technical problems deep passion desire engineer operate worlds largest cloud computing infrastructure provide better world future generations amazon web services aws builds operates largest internet infrastructure planet providing companies sizes infrastructure web services platform cloud wi
Database Engineer,intermediate site reliability engineer database operations remote emea gitlab open core software company develops comprehensive aipowered devsecops platform httpsaboutgitlabcomsolutionsdevopsplatform used organizations mission httpsaboutgitlabcomcompanymission enable everyone contribute cocreate software powers world everyone contribute consumers become contributors significantly acce
Database Engineer,database engineer hybrid role exclusive ocho database engineer required exciting well funded software house long term connections uk ni role client lookout skilled database engineer fortify platform team role central development optimization clients platforms underlying data architecture crucial handling data ingested numerous onpremises devices supporting cloudbased platforms mult
Database Engineer,job description scope supporting sales team account planning identifying potential customer requirements progression opportunity creation via strong discovery techniques work beyond single product discussions architect solutions based upon customer requirements support sales demonstrating customer technical solution provide business value positive outcomes ability communicate functionality lead discovery discussions cu
Database Engineer,description scope supporting sales team account planning identifying potential customer requirements progression opportunity creation via strong discovery techniques work beyond single product discussions architect solutions based upon customer requirements support sales demonstrating customer technical solution provide business value positive outcomes ability communicate functionality lead discovery discussions custom
Database Engineer,database engineer hybrid role exclusive ocho join exciting wellfunded scaleup client innovative wellfunded scaleup strong presence across uk usa seeking talented database engineer join growing platform team unique opportunity play pivotal role designing optimising scaling data architecture behind cuttingedge cloudbased platform role database engineer youll heart companys technic
Database Engineer,description youre ready gain skills experience needed grow within role advance career perfect software engineering opportunity database aws developer software engineer ii jpmorgan chase within within corporate technology frdc division key player agile team tasked designing delivering toptier technology products secure stable scalable manner role involve implementing
Database Engineer,job description oracle technology leader thats changing world business customer success servicescss team supports companies around world looking experienced selfmotivated engineer work customer premises uk database infrastructure specialist join team highly skilled technical experts build maintain clients technical landscapes tailored support services onsite role cu
Database Engineer,job description oracle technology leader thats changing world business customer success servicescss team supports companies around world looking experienced selfmotivated engineer work customer premises uk database infrastructure specialist join team highly skilled technical experts build maintain clients technical landscapes tailored support services onsite role cu
Database Engineer,description oracle technology leader thats changing world business customer success servicescss team supports companies around world looking experienced selfmotivated engineer work customer premises uk database infrastructure specialist join team highly skilled technical experts build maintain clients technical landscapes tailored support services onsite role custom
Database Engineer,description embark transformative career journey jpmorgan chase lead software engineer unique opportunity push boundaries technology contribute marketleading products grow professionally within global technology infrastructure team join us redefine whats possible career senior lead software engineer jpmorgan chase within global technology infrastructure vital member agile team contri
Database Engineer,job title dba sre hiring location uk duration months contract inside ir working mode fully remote job description part cloud team database administrator primary focus delivery cloud related database services products internal customers responsible providing end toend database support cloud services monitoring incident response incident resolution public private cloud platform environment also support
Designer,job description passionate digital hardware design fantastic opportunity move machine learning artificial intelligence key technologies future computing working cutting edge arm ip take part crafting technology powers next generation mobile apps portable devices home automation smart cities selfdriving cars much position offered either lund sweden cambridge uk responsibilities
Designer,gateways designer location bracknell basingstoke fully onsite security clearance sc start dv required later opportunity chance join team dedicated supporting critical national defence operations designing implementing advanced cybersecurity solutions working role means contributing development cuttingedge technology safeguards sensitive information ensures operational resilience focus innovation excellence
Designer,turn creativity people skills highearning sales career schmidt sales designer schmidt sales designer designs sells highquality madetomeasure kitchens bathrooms bedrooms interiors rewarding varied creative careerand one high earning potential expect see growth uk next years take customer orders daily average sale price ranging theres heaps success po
Designer,sales designer self employed earning potential ote k competitive commissionbased earnings north west england flexible working hours comprehensive training provided client transforming outdoor spaces across north west client trusted name premium outdoor transformations specialising highquality upvc decking fencing balustrades pergolas verandas known lowmaintenance durable stylish products theyve helped countless homeowners across th
Designer,bespoke designer bespoke designer assignment type temporary ongoing basis engaged via hayslocation chichesterworking environment hybrid part office based site client offices part home basedpay type competitive hourly pay rate new companythe worlds preeminent superluxury automotive brand based goodwood near chichester west sussex comprises global headquarters global centre luxury manufacturing excellence new rolehays recruiti
Designer,design engineer new company great opportunity growing business design bespoke solutions clients within manufacturing industry due increased client demand seeking experienced design engineer strong experience solidworks new role joining team designers working bespoke projects designing providing solutions clients across wide range manufacturing services produce drawings partsassemblies
Designer,design engineer midulster new company new company leading player engineering sector renowned innovative approach commitment excellence specialise design production highquality trailers serving diverse range industries strong focus customer satisfaction continuous improvement company offers dynamic supportive work environment skills expertise highly valued new role new
Designer,design engineer join successful innovative engineering firm newry new company new company rapidly expanding leader recycling industry known innovative approach commitment sustainability new contracts secured looking dynamic mechanical design engineer join engineering team company prides maintaining high standards adhering strict health safety policies new role new role invol
Designer,job summary head design responsible delivery mace dragados joint venture mdjvs design engineering obligations achieved combination mdjv internal roles supply chain organisations chief engineer group ceg acts overall owner controlling mind technical solution ultimately certifying meets requirements design management group dmg works ceg manage design proce
Designer,exciting opportunity ambitious experienced design coodinator join tetra techs extremely successful versatile team unique opportunity become part growing design management team working varied interesting commissions reporting directly technical director design management youwill lead managetetra techdesign consultants design subconsultants inputs projectsyou primarily delivering projects within midlands souther
Designer,design manager coordinator due continuing success growth excellent opportunity design manager design coordinator looking take next step career join team role based either dungannon midlands office role design manager coordinator responsibility take scheme planning approval contract execution commencement site responsible coordination
Designer,design manager required client wellestablished equipment manufacturer based marchwood near southampton supply full turnkey projects range industries due continued success seeking experienced design engineering professional electrical automation bias join team report directly managing director design manager job overview managing aspects design engineering projects conception delivery managing devel
Designer,design engineer reporting design engineering manager job holder adopt development products transition production take ownership product production design improvements assist company grow expand product range key responsibilities complete product design improvements concept design support build installation assist production engineering support guidance meet regularly engineering managermanufacturing engin
